epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,124.354,0.08061,1,1,0.00168,0.000551808,0.000551808,0.000551808
2,210.716,0.00084,1,1,0.00034,0.00108555,0.00108555,0.00108555
3,332.031,0.00024,1,1,0.00012,0.00159728,0.00159728,0.00159728
4,462.217,0.0001,1,1,6e-05,0.00156798,0.00156798,0.00156798
5,521.85,6e-05,1,1,4e-05,0.00153497,0.00153497,0.00153497
6,580.81,5e-05,1,1,3e-05,0.00150197,0.00150197,0.00150197
7,638.939,3e-05,1,1,3e-05,0.00146896,0.00146896,0.00146896
8,692.009,3e-05,1,1,2e-05,0.00143595,0.00143595,0.00143595
9,743.739,2e-05,1,1,2e-05,0.00140295,0.00140295,0.00140295
10,793.68,2e-05,1,1,1e-05,0.00136994,0.00136994,0.00136994
11,868.369,2e-05,1,1,2e-05,0.00133693,0.00133693,0.00133693
12,917.213,2e-05,1,1,1e-05,0.00130393,0.00130393,0.00130393
13,966.389,1e-05,1,1,1e-05,0.00127092,0.00127092,0.00127092
14,1014.91,1e-05,1,1,1e-05,0.00123791,0.00123791,0.00123791
15,1064.12,1e-05,1,1,1e-05,0.00120491,0.00120491,0.00120491
16,1113.55,1e-05,1,1,1e-05,0.0011719,0.0011719,0.0011719
17,1163.62,1e-05,1,1,1e-05,0.00113889,0.00113889,0.00113889
18,1213.26,1e-05,1,1,1e-05,0.00110589,0.00110589,0.00110589
19,1262.97,1e-05,1,1,1e-05,0.00107288,0.00107288,0.00107288
20,1349.62,1e-05,1,1,1e-05,0.00103987,0.00103987,0.00103987
21,1398.75,1e-05,1,1,1e-05,0.00100687,0.00100687,0.00100687
22,1448.55,1e-05,1,1,0,0.000973861,0.000973861,0.000973861
23,1498.26,1e-05,1,1,0,0.000940855,0.000940855,0.000940855
24,1548.04,1e-05,1,1,0,0.000907848,0.000907848,0.000907848
25,1597.83,1e-05,1,1,1e-05,0.000874842,0.000874842,0.000874842
26,1648.92,1e-05,1,1,0,0.000841835,0.000841835,0.000841835
27,1699.4,1e-05,1,1,0,0.000808828,0.000808828,0.000808828
28,1749.54,1e-05,1,1,0,0.000775822,0.000775822,0.000775822
29,1799.83,0,1,1,0,0.000742815,0.000742815,0.000742815
30,1850.03,0,1,1,0,0.000709809,0.000709809,0.000709809
31,1900.28,0,1,1,0,0.000676802,0.000676802,0.000676802
32,1965.29,0,1,1,0,0.000643795,0.000643795,0.000643795
33,2015.22,0,1,1,0,0.000610789,0.000610789,0.000610789
34,2065.31,0,1,1,0,0.000577782,0.000577782,0.000577782
35,2115.29,0,1,1,0,0.000544776,0.000544776,0.000544776
36,2165.12,0,1,1,0,0.000511769,0.000511769,0.000511769
37,2215.26,0,1,1,0,0.000478762,0.000478762,0.000478762
38,2265.41,0,1,1,0,0.000445756,0.000445756,0.000445756
39,2315.34,0,1,1,0,0.000412749,0.000412749,0.000412749
40,2402.65,0,1,1,0,0.000379743,0.000379743,0.000379743
41,2461.75,0,1,1,0,0.000346736,0.000346736,0.000346736
42,2521.07,0,1,1,0,0.000313729,0.000313729,0.000313729
43,2708.94,0,1,1,0,0.000280723,0.000280723,0.000280723
44,2768.44,0,1,1,0,0.000247716,0.000247716,0.000247716
45,2827,0,1,1,0,0.00021471,0.00021471,0.00021471
46,2886.15,0,1,1,0,0.000181703,0.000181703,0.000181703
47,2945.21,0,1,1,0,0.000148696,0.000148696,0.000148696
48,3003.93,0,1,1,0,0.00011569,0.00011569,0.00011569
49,3062.74,0,1,1,0,8.26832e-05,8.26832e-05,8.26832e-05
50,3121.97,0,1,1,0,4.96766e-05,4.96766e-05,4.96766e-05
